Time,QHeatTotal
2.47032e+07,0
2.47068e+07,0
2.47104e+07,0
2.4714e+07,0
2.47176e+07,0
2.47212e+07,0
2.47248e+07,0
2.47284e+07,0
2.4732e+07,0
2.47356e+07,0
2.47392e+07,0
2.47428e+07,0
2.47464e+07,0
2.475e+07,0
2.47536e+07,6930.3623
2.47572e+07,6930.3623
2.47608e+07,6825.4414
2.47644e+07,6317.6543
2.4768e+07,6067.9097
2.47716e+07,6089.903
2.47752e+07,6291.5005
2.47788e+07,6272.1333
2.47824e+07,6133.969
2.4786e+07,6494.324
2.47896e+07,1839.2456
2.47932e+07,606.17206
2.47968e+07,1048.9231
2.48004e+07,1274.8025
2.4804e+07,1426.3884
2.48076e+07,1580.7651
2.48112e+07,1692.5947
2.48148e+07,1797.8759
2.48184e+07,1901.9067
2.4822e+07,1259.9799
2.48256e+07,5308.4204
2.48292e+07,5896.959
2.48328e+07,5436.94
2.48364e+07,5031.4683
2.484e+07,4730.654
2.48436e+07,0
2.48472e+07,0
2.48508e+07,0
2.48544e+07,0
2.4858e+07,0
2.48616e+07,0
2.48652e+07,0
2.48688e+07,5979.772
2.48724e+07,5944.3027
2.4876e+07,1348.4397
2.48796e+07,125.58483
2.48832e+07,301.77124
2.48868e+07,444.18716
2.48904e+07,737.1577
2.4894e+07,1066.9294
2.48976e+07,1182.6014
2.49012e+07,1510.1504
2.49048e+07,1872.7452
2.49084e+07,1294.7017
2.4912e+07,5039.5244
2.49156e+07,5313.034
2.49192e+07,0
2.49228e+07,0
2.49264e+07,0
2.493e+07,0
2.49336e+07,0
2.49372e+07,0
2.49408e+07,0
2.49444e+07,0
2.4948e+07,5101.758
2.49516e+07,5779.596
2.49552e+07,6059.874
2.49588e+07,6147.551
2.49624e+07,1691.269
2.4966e+07,662.01245
2.49696e+07,1022.4501
2.49732e+07,1298.3573
2.49768e+07,1611.956
2.49804e+07,1842.4742
2.4984e+07,2062.5208
2.49876e+07,2268.3455
2.49912e+07,2410.649
2.49948e+07,1674.3735
2.49984e+07,5082.582
2.5002e+07,5043.823
2.50056e+07,4178.565
2.50092e+07,3653.4058
2.50128e+07,0
2.50164e+07,0
2.502e+07,0
2.50236e+07,0
2.50272e+07,0
2.50308e+07,0
2.50344e+07,3979.6794
2.5038e+07,4775.3022
2.50416e+07,5074.5483
2.50452e+07,5271.191
2.50488e+07,849.6136
2.50524e+07,7.830094
2.5056e+07,459.60855
2.50596e+07,790.74756
2.50632e+07,1018.7363
2.50668e+07,1328.7112
2.50704e+07,1603.7866
2.5074e+07,1778.4642
2.50776e+07,1914.2924
2.50812e+07,1183.6187
2.50848e+07,4792.8013
2.50884e+07,4963.388
2.5092e+07,4147.6826
2.50956e+07,0
2.50992e+07,0
2.51028e+07,0
2.51064e+07,0
2.511e+07,0
2.51136e+07,0
2.51172e+07,0
2.51208e+07,0
2.51244e+07,0
2.5128e+07,0
2.51316e+07,0
2.51352e+07,754.26294
2.51388e+07,0
2.51424e+07,165.81554
2.5146e+07,559.6775
2.51496e+07,1034.441
2.51532e+07,1274.9459
2.51568e+07,1450.411
2.51604e+07,1657.8009
2.5164e+07,1618.81
2.51676e+07,981.87946
2.51712e+07,4697.7866
2.51748e+07,4940.3906
2.51784e+07,4383.622
2.5182e+07,0
2.51856e+07,0
2.51892e+07,0
2.51928e+07,0
2.51964e+07,0
2.52e+07,0
2.52036e+07,0
2.52072e+07,0
2.52108e+07,0
2.52144e+07,0
2.5218e+07,5553.5923
2.52216e+07,1329.1101
2.52252e+07,320.08847
2.52288e+07,664.47687
2.52324e+07,892.6641
2.5236e+07,901.8197
2.52396e+07,887.5359
2.52432e+07,1002.7355
2.52468e+07,1092.6815
2.52504e+07,1188.7046
2.5254e+07,1284.6663
2.52576e+07,5568.2837
2.52612e+07,6034.2075
2.52648e+07,5376.616
2.52684e+07,5014.5366
2.5272e+07,4893.7017
2.52756e+07,4861.4033
2.52792e+07,0
2.52828e+07,0
2.52864e+07,0
2.529e+07,0
2.52936e+07,0
2.52972e+07,0
2.53008e+07,5413.453
2.53044e+07,5887.0273
2.5308e+07,1294.3458
2.53116e+07,65.49648
2.53152e+07,566.0315
2.53188e+07,866.77594
2.53224e+07,894.0731
2.5326e+07,1008.4743
2.53296e+07,1077.4375
2.53332e+07,1119.699
2.53368e+07,1212.5619
2.53404e+07,1326.9227
2.5344e+07,5494.603
2.53476e+07,0
2.53512e+07,0
2.53548e+07,0
2.53584e+07,0
2.5362e+07,0
2.53656e+07,0
2.53692e+07,0
2.53728e+07,0
2.53764e+07,0
2.538e+07,0
2.53836e+07,0
2.53872e+07,0
2.53908e+07,0
2.53944e+07,0
2.5398e+07,0
2.54016e+07,0
